name,dateOfBirth,placeOfBirth,countryOfBirth,tzOffsetCode,gender
Alexander Albon,1996-03-23,London,united-kingdom,,MALE
Alexander Dunne,2005-11-11,Offaly,ireland,,MALE
Arvid Lindblad,2007-08-08,Virginia Water,united-kingdom,,MALE
Ayumu Iwasa,2001-09-22,Moriguchi,japan,,MALE
Carlos Sainz Jr.,1994-09-01,Madrid,spain,,MALE
Charles Leclerc,1997-10-16,Monte Carlo,monaco,,MALE
Dino Beganovic,2004-01-19,Linköping,sweden,,MALE
Esteban Ocon,1996-09-17,Évreux,france,,MALE
Felipe Drugovich,2000-05-23,Maringá,brazil,,MALE
Fernando Alonso,1981-07-29,Oviedo,spain,,MALE
Franco Colapinto,2003-05-27,Pilar,argentina,,MALE
Frederik Vesti,2002-01-13,Langelund,denmark,,MALE
Gabriel Bortoleto,2004-10-14,Osasco,brazil,,MALE
George Russell,1998-02-15,King's Lynn,united-kingdom,,MALE
Isack Hadjar,2004-09-28,Paris,france,,MALE
Jack Doohan,2003-01-20,Gold Coast,australia,,MALE
Kimi Antonelli,2006-08-25,Bologna,italy,,MALE
Lance Stroll,1998-10-29,Montreal,canada,,MALE
Lando Norris,1999-11-13,Bristol,united-kingdom,,MALE
Lewis Hamilton,1985-01-07,Stevenage,united-kingdom,,MALE
Liam Lawson,2002-02-11,Hastings,new-zealand,,MALE
Luke Browning,2002-01-31,Kingsley,united-kingdom,,MALE
Max Verstappen,1997-09-30,Hasselt,belgium,,MALE
Nico Hülkenberg,1987-08-19,Emmerich am Rhein,germany,,MALE
Oliver Bearman,2005-05-08,Havering,united-kingdom,,MALE
Oscar Piastri,2001-04-06,Melbourne,australia,,MALE
Paul Aron,2004-02-04,Tallinn,estonia,,MALE
Pierre Gasly,1996-02-07,Rouen,france,,MALE
Ryō Hirakawa,1994-03-07,Kure,japan,,MALE
Victor Martins,2001-06-16,Quincy-sous-Sénart,france,,MALE
Yuki Tsunoda,2000-05-11,Sagamihara,japan,,MALE
