f1db-seasons-drivers
year,driverId,positionNumber,positionText,bestStartingGridPosition,bestRaceResult,totalRaceEntries,totalRaceStarts,totalRaceWins,totalRaceLaps,totalPodiums,totalPoints,totalPolePositions,totalFastestLaps,totalDriverOfTheDay,totalGrandSlams
2025,fernando-alonso,11,11,5,5,18,18,0,931,0,36,0,0,1,0
2025,lance-stroll,13,13,6,6,18,17,0,1006,0,32,0,0,0,0
2025,felipe-drugovich,,,,,0,0,0,0,0,0,0,0,0,0
2025,alexander-albon,8,8,5,5,18,18,0,959,0,70,0,0,0,0
2025,carlos-sainz-jr,12,12,2,3,18,17,0,937,1,32,0,0,1,0
2025,luke-browning,,,,,0,0,0,0,0,0,0,0,0,0
2025,victor-martins,,,,,0,0,0,0,0,0,0,0,0,0
2025,pierre-gasly,16,16,4,6,18,18,0,954,0,20,0,0,0,0
2025,jack-doohan,21,21,11,13,6,6,0,215,0,0,0,0,0,0
2025,franco-colapinto,20,20,10,11,12,11,0,691,0,0,0,0,0,0
2025,ryo-hirakawa,,,,,0,0,0,0,0,0,0,0,0,0
2025,paul-aron,,,,,0,0,0,0,0,0,0,0,0,0
2025,lando-norris,2,2,1,1,18,18,5,1069,14,314,4,6,1,0
2025,oscar-piastri,1,1,1,1,18,18,7,1030,14,336,5,5,1,2
2025,alexander-dunne,,,,,0,0,0,0,0,0,0,0,0,0
2025,kimi-antonelli,7,7,3,3,18,18,0,946,1,88,0,2,2,0
2025,george-russell,4,4,1,1,18,18,2,1079,8,237,2,2,0,0
2025,frederik-vesti,,,,,0,0,0,0,0,0,0,0,0,0
2025,esteban-ocon,15,15,8,5,18,18,0,1039,0,28,0,0,0,0
2025,oliver-bearman,19,19,9,6,18,18,0,1025,0,18,0,0,0,0
2025,liam-lawson,14,14,3,5,18,18,0,978,0,30,0,0,0,0
2025,max-verstappen,3,3,1,1,18,18,4,1011,9,273,6,2,4,1
2025,yuki-tsunoda,17,17,5,6,18,18,0,1023,0,20,0,0,1,0
2025,ayumu-iwasa,,,,,0,0,0,0,0,0,0,0,0,0
2025,arvid-lindblad,,,,,0,0,0,0,0,0,0,0,0,0
2025,charles-leclerc,5,5,1,2,18,18,0,1061,5,173,1,0,1,0
2025,lewis-hamilton,6,6,4,4,18,18,0,1030,0,125,0,1,2,0
2025,dino-beganovic,,,,,0,0,0,0,0,0,0,0,0,0
2025,gabriel-bortoleto,18,18,7,6,18,18,0,986,0,18,0,0,2,0
2025,nico-hulkenberg,10,10,11,3,18,17,0,963,1,37,0,0,1,0
2025,isack-hadjar,9,9,4,3,18,18,0,983,1,39,0,0,1,0
